parameter,value,n_reps,viable_rate,viable_ci_lower,viable_ci_upper,healthy_rate,healthy_ci_lower,healthy_ci_upper,no_crash_rate,no_crash_ci_lower,no_crash_ci_upper,low_var_rate,low_var_ci_lower,low_var_ci_upper,stability_mean,stability_std,stability_se,stability_ci_lower,stability_ci_upper,fish_mean,fish_std,fish_se,fish_ci_lower,fish_ci_upper,cv_mean,cv_std,cv_se,cv_ci_lower,cv_ci_upper,persist_viable_mean,persist_viable_std,persist_viable_se,persist_viable_ci_lower,persist_viable_ci_upper,persist_healthy_mean,persist_healthy_std,persist_healthy_se,persist_healthy_ci_lower,persist_healthy_ci_upper
imitation_period,1.0,15,1.0,1.0,1,0.0,0,0.0,0.26666666666666666,0.0428741701850342,0.4904591631482991,0.8666666666666667,0.6946360061780545,1.0,0.5866666666666666,0.1302013093343571,0.03361783351375769,0.5207757129797015,0.6525576203536316,14.338740740740741,0.7324471397058337,0.18911703827053009,13.968071345730502,14.70941013575098,0.35774634372484915,0.0823978183916258,0.021275025226305994,0.3160472942812894,0.3994453931684089,0.8394074074074074,0.0517044010807868,0.013350018954101069,0.8132413702573693,0.8655734445574454,0.14807407407407408,0.02743749242539792,0.007084330081683885,0.13418878711397367,0.1619593610341745
imitation_period,2.0,15,1.0,1.0,1,0.0,0,0.0,0.26666666666666666,0.0428741701850342,0.4904591631482991,1.0,1.0,1.0,0.5933333333333333,0.07037315505489966,0.018170270503179913,0.5577196031471007,0.6289470635195659,14.32874074074074,0.5494707838177144,0.14187274633023625,14.050670157933476,14.606811323548003,0.36079137007503465,0.021604451801516374,0.005578245468747582,0.3498580089562894,0.3717247311937799,0.8218518518518519,0.027273733792197698,0.007042047784405076,0.808049438194418,0.8356542655092859,0.15792592592592591,0.03622111856013295,0.009352252597626618,0.13959551083457775,0.17625634101727408
imitation_period,4.0,15,1.0,1.0,1,0.0,0,0.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.8666666666666667,0.6946360061780545,1.0,0.6199999999999999,0.10141851056742197,0.02618614682831908,0.5686751522164945,0.6713248477835053,14.688518518518517,0.4870408191858296,0.12575339877532904,14.442041856918872,14.934995180118163,0.3516479769957455,0.031950667943602754,0.008249626989718442,0.33547870809589736,0.36781724589559367,0.8443703703703702,0.032417216958283146,0.008370089427321552,0.82796499509282,0.8607757456479205,0.17155555555555554,0.03326925057030441,0.008590083559972705,0.15471899177800905,0.18839211933310204
imitation_period,6.0,15,1.0,1.0,1,0.0,0,0.0,0.06666666666666667,0.0,0.19290265965569464,0.8666666666666667,0.6946360061780545,1.0,0.5866666666666664,0.05163977794943221,0.013333333333333329,0.5605333333333331,0.6127999999999998,14.42911111111111,0.6228565644059901,0.1608208734013578,14.11390219924445,14.744320022977771,0.3520776406561816,0.038755551448695455,0.010006640355592148,0.33246462555922096,0.3716906557531422,0.8436296296296297,0.03166866233384804,0.008176813454377305,0.8276030752590502,0.8596561840002093,0.14659259259259258,0.03808805046832099,0.00983429234355432,0.12731737959922612,0.16586780558595904
imitation_period,7.0,15,1.0,1.0,1,0.0,0,0.0,0.3333333333333333,0.09476973050886098,0.5718969361578057,1.0,1.0,1.0,0.6199999999999999,0.06761234037828132,0.017457431218879386,0.5857834348109963,0.6542165651890035,14.555407407407408,0.586110827753887,0.1513331649948432,14.258794404017515,14.852020410797302,0.3501850888055565,0.023025247164349817,0.005945093253989092,0.3385327060277379,0.3618374715833751,0.8390370370370372,0.02973091155186601,0.007676488353862851,0.8239911198634661,0.8540829542106084,0.15985185185185186,0.036598943389945494,0.009449806549203127,0.14133023101541373,0.17837347268828999
imitation_period,9.0,15,1.0,1.0,1,0.0,0,0.0,0.13333333333333333,0.0,0.3053639938219455,0.9333333333333333,0.8070973403443054,1.0,0.5999999999999999,0.053452248382484864,0.013801311186847081,0.5729494300737796,0.6270505699262201,14.704074074074075,0.5387513597484515,0.13910500293682354,14.431428268317902,14.976719879830249,0.3564918254522615,0.02931596098077757,0.007569348577107865,0.34165590224113007,0.3713277486633929,0.8499259259259261,0.029386635874472135,0.0075875967561928005,0.8350542362837882,0.864797615568064,0.17014814814814816,0.03084313920053665,0.007963664297895705,0.15453936612427258,0.18575693017202374
imitation_period,11.0,15,0.9333333333333333,0.8070973403443054,1,0.0,0,0.0,0.13333333333333333,0.0,0.3053639938219455,0.9333333333333333,0.8070973403443054,1.0,0.5666666666666665,0.1632993161855452,0.042163702135578386,0.4840258104809329,0.6493075228524001,13.962592592592593,1.8456800062522025,0.47655252844285206,13.028549636844602,14.896635548340583,0.39897682914713517,0.18544322128326887,0.04788123384647714,0.30512961080803996,0.4928240474862304,0.8051851851851851,0.10401436838293035,0.026856394434224835,0.7525466520941044,0.8578237182762658,0.15066666666666664,0.034701549401492116,0.008959901527971527,0.13310525967184245,0.16822807366149084
imitation_period,12.0,15,1.0,1.0,1,0.0,0,0.0,0.13333333333333333,0.0,0.3053639938219455,0.8666666666666667,0.6946360061780545,1.0,0.5599999999999999,0.09102589898327992,0.023502786055720117,0.5139345393307885,0.6060654606692114,14.321555555555557,0.5183913525091455,0.13384807167239057,14.059213335077672,14.583897776033442,0.35959685224655735,0.03219628935608395,0.008313046165719217,0.3433032817617477,0.375890422731367,0.8201481481481482,0.045446766476685246,0.011734304646878631,0.7971489110402661,0.8431473852560303,0.16133333333333333,0.031284099561303534,0.008077519773468224,0.1455013945773356,0.17716527208933106
imitation_period,14.0,15,1.0,1.0,1,0.0,0,0.0,0.13333333333333333,0.0,0.3053639938219455,0.8,0.5975720704382257,1.0,0.5666666666666667,0.08997354108424371,0.023231068414572315,0.5211337725741049,0.6121995607592284,14.47288888888889,0.5596865146749515,0.14451043669553065,14.189648432965651,14.75612934481213,0.36513132437933205,0.04981103621102719,0.01286115424684286,0.33992346205552004,0.39033918670314405,0.8305185185185187,0.04348136430403435,0.011226839987993512,0.8085139121420514,0.8525231248949859,0.16,0.032532713152211755,0.008399910416363942,0.14353617558392667,0.17646382441607333
imitation_period,16.0,15,1.0,1.0,1,0.0,0,0.0,0.06666666666666667,0.0,0.19290265965569464,0.9333333333333333,0.8070973403443054,1.0,0.5933333333333333,0.05936168397046635,0.015327120894696263,0.5632921763797286,0.6233744902869379,14.452814814814813,0.5198208663551103,0.1342171705602969,14.189749160516632,14.715880469112994,0.35680153930750796,0.025196596427870102,0.006505733223083346,0.3440503021902646,0.3695527764247513,0.835111111111111,0.029516384114876455,0.007621097607811844,0.8201737597997998,0.8500484624224223,0.15822222222222224,0.031423600697183224,0.008113538811870826,0.14231968615095542,0.17412475829348906
